,Asset Class,Symbol,Fund Name,Inception Date,Total Net Assets,Number of Holdings,Top Holding Ticker,Top Holding Weight,Cumulative | Month End | YTD,Cumulative | Month End | 1 Month,Cumulative | Month End | 3 Month,Cumulative | Month End | 6 Month,Cumulative | Month End | Since Inception,Annualized | Month End | 1 Year,Annualized | Month End | 3 Year,Annualized | Month End | 5 Year,Annualized | Month End | 10 Year,Annualized | Month End | Since Inception,Cumulative | Quarter End | YTD,Cumulative | Quarter End | 1 Month,Cumulative | Quarter End | 3 Month,Cumulative | Quarter End | 6 Month,Cumulative | Quarter End | Since Inception,Annualized | Quarter End | 1 Year,Annualized | Quarter End | 3 Year,Annualized | Quarter End | 5 Year,Annualized | Quarter End | 10 Year,Annualized | Quarter End | Since Inception,Management Fees,Acquired Fund Fees & Expenses,Total Annual Fund Operating Expenses,Less Fee Waivers,Net Expenses,12-Month Yield,30-Day SEC Yield,Price/Earnings,Price/Book,Beta,Standard Deviation,Weighted Average Coupon,Effective Duration
As of Date,,,,,2013/11/27,2013/10/29,2013/10/29,2013/10/29,2013/10/31,2013/10/31,2013/10/31,2013/10/31,2013/10/31,2013/10/31,2013/10/31,2013/10/31,2013/10/31,2013/10/31,2013/06/30,2013/06/30,2013/06/30,2013/06/30,2013/06/30,2013/06/30,2013/06/30,2013/06/30,2013/06/30,2013/06/30,,,,,,2013/08/14,2013/10/31,2013/07/31,2013/07/31,2013/07/31,2013/07/31,2013/07/31,2013/07/31
,Commodities,FNIO,iShares Industrial/Office Real Estate Capped ETF,2007/05/01,16382610,32,PLD,17.656302,10.71,4.85,1.42,-4.34,-19.61,14.12,9.43,11.88,--,-3.3,6.79,-2.75,-3.06,6.79,-22.46,9.52,14,0.09,--,-4.04,0.48,0,0.48,--,--,2.8471,2.9203,56.5757,1.8766,0.7923,18.1929,--,--
,Commodities,FTY,iShares Real Estate 50 ETF,2007/05/01,75131772.99,51,SPG,9.870931,3.81,3.39,-0.11,-8.9,8.66,5.88,10.76,14.08,--,1.29,3.62,-2.41,-3.27,3.62,8.46,6.34,16.79,6.8,--,1.33,0.48,0,0.48,--,--,3.5525,3.5951,43.6799,3.4346,0.3917,15.1575,--,--
,Equity,IAI,iShares U.S. Broker-Dealers ETF,2006/05/01,190767271.14,23,GS,7.511187,45.43,4.35,5.74,24.08,-22.18,55.7,10.7,10.1,--,-3.29,30.81,2.2,10.8,30.81,-30,46.21,10.71,0.12,--,-4.86,0.46,0,0.46,--,--,1.8304,1.0089,24.5771,2.9491,0.8969,22.5386,--,--
,Equity,IAK,iShares U.S. Insurance ETF,2006/05/01,169107785.84,68,AIG,12.185528,36.71,4.12,4.89,15.43,1.69,37.61,16.54,16.66,--,0.22,24.09,0.7,7.54,24.09,-7.7,36.24,17,4.03,--,-1.11,0.46,0,0.46,--,--,1.5171,1.2685,20.8575,1.1864,0.7913,17.8085,--,--
,Equity,IAT,iShares U.S. Regional Banks ETF,2006/05/01,491318539.09,58,USB,19.545192,28.02,3.76,-0.24,16.37,-24.83,28.03,14.54,3.26,--,-3.73,20.46,3.11,8.24,20.46,-29.27,24.23,12.08,4.1,--,-4.72,0.46,0,0.46,--,--,1.6322,1.6794,14.5191,1.4218,1.0619,19.5656,--,--
,Equity,IBB,iShares Nasdaq Biotechnology ETF,2001/02/05,4400209152.51,119,BIIB,8.96126,49.73,-2.07,3.76,19.18,108.96,55.79,32.22,23.85,11.33,5.96,26.7,-3.15,8.62,26.7,76.82,34.12,31.35,17.95,10.15,4.7,0.48,0,0.48,--,--,0.0856,0.0058,35.9274,9.3076,2.2228,16.8552,--,--
,Commodities,ICF,iShares Cohen & Steers REIT ETF,2001/01/29,2371725028.14,31,SPG,7.799567,3.78,3.57,-0.63,-8.42,245.93,6.81,10.64,13.47,9,10.22,4.09,-1.67,-1.59,4.09,246.94,5.44,17.16,5.47,10.32,10.54,0.35,0,0.35,--,--,3.1072,3.1691,49.3678,3.013,0.35,16.5115,--,--
,Equity,IDU,iShares U.S. Utilities ETF,2000/06/12,644974453.01,65,DUK,8.188173,15.73,3.85,-0.29,-3.24,115.56,11.31,11.85,10.71,9.54,5.9,11.3,1.27,-1.75,11.3,107.31,8.56,15.23,2.77,9.24,5.74,0.46,0,0.46,--,--,3.1432,3.4856,22.5648,1.9054,0.5772,9.9384,--,--
,Equity,IEO,iShares U.S. Oil & Gas Exploration & Production ETF,2006/05/01,430396405.05,70,COP,13.783899,31.14,6.26,10.56,17.33,69.33,34.42,16.46,14.39,--,7.27,13.2,-3.76,-2.08,13.2,46.17,24.61,15.08,-3.02,--,5.44,0.46,0,0.46,--,--,0.8198,0.8057,25.8999,2.5882,1.5787,27.0459,--,--
