EPS1,EPS2,PEG,ROIROEROA
RVBD,MDR,PCYC,ERIE
CCI,SATS,LEN,PBF
FB,KIM,EQR,ACN
AWAY,VRTX,MDU,IBKR
PCYC,MYGN,UGI,CBOE
ILMN,MCY,HTA,SIRI
DEI,UPS,PDM,MNST
CREE,ACC,TMUS,AOL
TWTC,MAC,SLG,PCYC
EA,CREE,ALKS,FDS
UA,SRE,RVBD,AAPL
JDSU,BRE,FE,TCB
FTNT,BMRN,QGEN,FRC
SIRI,EXP,NUAN,ROL
RHT,GRA,HCN,FCNCA
NLSN,MCHP,SATS,EWBC
TIBX,ABT,BMR,BOH
CERN,TE,RGC,RES
CBST,HST,CBL,BWC
VMW,SE,NFLX,BKU
LSI,TAP,WEN,CMI
KSU,RGLD,EIX,AVGO
MAA,ACAS,WRI,CSE
DNKN,ALSN,D,CBSH
SPG,TIBX,WAFD,SBNY
ANSS,QEP,WDC,VLY
SBUX,INFA,TRI,MSM
BRCM,ROL,VOYA,RNR
PSA,WMB,PXD,AEO
FLT,IPGP,DEI,ZION
HME,KBR,CTL,CYN
UFS,EMR,KIM,HBAN
BIIB,SON,XOM,FFIV
KMI,NI,PPS,SIVB
EXR,STWD,MET,CFR
TFM,BRKR,CNP,FCX
SRCL,APA,UFS,TKR
LKQ,SLH,LNKD,CVX
TDG,UA,MCY,BPOP
V,SCG,O,HRS
ADS,IBKR,TEX,CST
TSCO,UDR,PTEN,ALSN
VRSK,FSL,UPS,DSW
CPT,TEG,HRS,CHS
IT,RKT,MRK,TSO
IDXX,CMA,ACC,BOKF
CLH,DOW,ED,VZ
OCN,ASH,NNN,FNFG
LIFE,SMG,MAC,GES
HSY,AL,NOC,FULT
RPM,PANW,ARIA,ARIA
WYNN,QGEN,JCP,JCP
MA,BMR,MDR,PANW
MNST,TDS,PCYC,RLGY
PRGO,XL,DHI,VRTX
MOS,EQIX,LEN,AMD
CLI,KOS,EQR,CPWR
AGNC,CERN,MDU,ONNN
CIE,WYNN,UGI,SRC
EXC,MYL,CVI,BMRN
O,WIN,HTA,BTU
SCCO,ZNGA,PDM,KOS
FE,KEX,ANF,PLCM
LRY,RF,TMUS,AES
WRI,ODFL,CLI,UDR
BMR,ENR,AGNC,SWN
RPAI,RNR,SLG,AEE
PPS,FTI,PANW,FCE-A
PLD,FSLR,PHM,SGEN
PEG,SPW,CIE,ACM
TRV,MOS,WTW,DVN
AHL,PWR,ALKS,N
CINF,CSCO,AVP,ZNGA
VR,HAL,MBI,THRX
VNO,WCC,RVBD,SHLD
CB,CBI,FE,WDAY
FCE-A,HOG,QGEN,ENDP
AXS,LECO,NUAN,HIG
HCBK,AMP,NEM,GD
FITB,AAN,HCN,LM
ENH,TECD,RLGY,TK
ASBC,ALL,SATS,MDVN
CMA,UNP,BMR,FRX
CWH,ITW,RGC,HPQ
LXK,WYN,EXC,CRM
ENDP,CSE,CBL,HSC
APA,X,NFLX,CLF
OSK,SPLK,NLY,LNG
FSLR,DAL,WEN,NFX
BAH,BEN,EIX,NOW
CLF,,WRI,WPX
TDS,,D,SEE
WPO,,WAFD,SPLK
USM,,WDC,CHK
DAL,,TRI,GME
,,VOYA,BSX
,,PXD,RRD
,,DEI,DWA
,,CAM,BBY
,,CTL,P
