CapVol,CapInd,PEGl1.2,EPSgrowth,InstOwn
ARIA,ARIA,AA,A,RPAI
SCTY,P,AAPL,AAN,NLY
P,JCP,ABBV,AAP,LDOS
JCP,LGF,ACAS,ABC,HE
CLF,HMA,AET,ADS,MCY
LGF,SGEN,AGCO,AGCO,L
AMD,RRD,AIG,AGN,POM
NSM,DWA,AL,AGO,HRL
DECK,THRX,ALK,AIV,LVS
HMA,CAR,AMP,ALK,HTA
MBI,UHAL,AN,ALR,PRE
PAY,SPR,ANF,ALTR,KRO
RGLD,ALR,ARCC,AMD,PG
SGEN,WEN,ARW,AMGN,NFG
RRD,ITT,ATW,ANSS,SCCO
FSL,WPO,AWH,ATVI,KMI
ETFC,THC,AZO,AWAY,JWN
GPOR,SLXP,BAC,AWK,INTC
DWA,ALKS,BEN,AZO,MGM
THRX,ATK,BWC,BBBY,NEU
LPI,UTHR,C,BIIB,MORN
CAR,WTW,CA,BKD,SCG
UHAL,CAB,CAM,BRCM,ORCL
PBI,ACM,CAR,BYI,RCL
TPX,HII,CAT,CA,MCD
PBF,CYH,CBI,CAR,MS
SPR,MDRX,CCK,CBST,KO
ALR,CVD,CDNS,CCI,ROL
WEN,AOS,CHS,CERN,MO
CVI,TRN,CLR,CHS,RAI
NAV,HXL,CMCSA,CLH,LUK
ITT,FLIR,CNA,CMCSA,IBM
SSYS,APOL,COF,CMI,MAR
WPO,TEX,CPA,CPT,HCA
THC,BYI,CXW,CREE,PCAR
SLXP,ANF,DAL,CSE,PPL
MDR,DPZ,DE,CTSH,RMD
ALKS,CNW,DLPH,CVC,LNT
OSK,KAR,DO,DECK,NYCB
OAS,BAH,DRC,DEI,O
AGO,CBST,DTV,DHI,N
LXK,MYGN,F,DNKN,SCTY
GNTX,AEO,FCX,DPZ,NWSA
ATK,GGG,FLIR,DSW,OGE
ZNGA,TFM,FOXA,EA,NLSN
UTHR,DV,GLW,EL,GRMN
ATML,MTW,GM,EW,KMPR
WTW,URS,GMT,EXR,MDU
SFG,LII,GPOR,F,SFM
CWH,XLS,GPS,FB,SDRL
SIVB,LPS,GT,FDO,I
PL,SCTY,HII,FLT,RES
BPOP,CLF,HLF,FMC,MUSA
CAB,AMD,HNT,FOSL,MNK
ACM,RGLD,IACI,FTNT,AGNC
SWI,FSL,IGT,GM,AMD
ROVI,GPOR,IM,GOOG,FTR
HII,LPI,IPGP,GPS,AMH
CYH,PBF,JAZZ,GS,AAPL
DRQ,CVI,JBL,HBAN,FSLR
MDRX,SSYS,JOY,HFC,DUK
CVD,MDR,KMI,HLF,AA
AOS,OAS,LEA,HME,GAS
TRN,LXK,LEG,HSH,GE
HXL,ZNGA,LGF,HSY,CAT
ANAT,ATML,LMCA,HXL,ATO
LPLA,SWI,LNC,IBM,ACAS
CSE,ROVI,LSTR,ICE,ED
FLIR,DRQ,LUV,IDXX,AEE
APOL,VSH,LYB,ILMN,FLO
TEX,RES,M,INCY,CINF
VSH,DATA,MBI,INGR,ARCC
BYI,AWAY,MHK,INT,CHH
HHC,IGT,MPC,INTU,CBSH
OHI,INFA,MTW,IPG,AVX
ANF,WPX,MU,IT,ATVI
DPZ,X,MUR,ITC,ANAT
AIZ,NFX,MYGN,JAZZ,ERIE
CNW,BR,NLY,JBL,DTE
KAR,MSCI,NSM,JDSU,BEN
BAH,ROC,OAS,JOY,GPS
ORI,SD,ODFL,KMI,FULT
CBOE,,OIS,KMX,D
RES,,OSK,KSU,FSL
DATA,,PHM,LEN,BBT
CBST,,QCOM,LIFE,BOKF
EWBC,,RDC,LKQ,CPB
THG,,RE,LSI,CLR
AWAY,,RJF,LVLT,AFL
THO,,RKT,MA,FCNCA
MYGN,,SDRL,MAA,AMTD
AEO,,SIX,MBI,DDD
WPC,,SLB,MCD,BAC
GGG,,SLM,MFA,GM
IGT,,SNDK,MMC,AEP
TFM,,SNV,MNST,DST
DV,,SPN,MON,F
MTW,,STLD,MRC,FB
SNV,,STZ,MSCI,AFG
INFA,,SWKS,MSI,AWI
DF,,TDW,MU,AWAY
FII,,TOL,MYGN,CIM
WPX,,TRW,MYL,GLNG
URS,,TTC,N,CVI
LII,,TWC,NDSN,SIRI
,,TWO,NLSN,X
,,UNM,NSM,WAG
,,URI,OCN,TSLA
,,VMI,OCR,SNV
,,VR,ODFL,SO
,,WBC,OIS,USM
,,WHR,ORCL,VVC
,,WLP,ORLY,VLY
,,WYN,PAY,TFSL
,,XL,PCYC,T
,,,PHM,VMW
,,,PII,WMT
,,,PNRA,UHAL
,,,PRGO,XOM
,,,PSA,VZ
,,,RES,TEG
,,,RHT,ZNGA
,,,RMD,TPX
,,,ROST,WR
,,,RPM,WIN
,,,RVBD,TE
,,,SBUX,WTR
,,,SD,WLK
,,,SIRI,WPC
,,,SIRO,SRC
,,,SLAB,TMUS
,,,SLM,VOYA
,,,SNDK,TRI
,,,SNI,TK
,,,SPG,WWAV
,,,SRCL,SSYS
,,,STWD,
,,,STZ,
,,,SYMC,
,,,TDC,
,,,TDG,
,,,TECD,
,,,TER,
,,,TFM,
,,,TGI,
,,,TIBX,
,,,TJX,
,,,TKR,
,,,TMUS,
,,,TSCO,
,,,TSN,
,,,TWTC,
,,,TWX,
,,,UA,
,,,UFS,
,,,UHS,
,,,UNP,
,,,V,
,,,VAL,
,,,VAR,
,,,VC,
,,,VMI,
,,,VMW,
,,,VRSK,
,,,VRTX,
,,,WAB,
,,,WAFD,
,,,WBC,
,,,WLK,
,,,WLL,
,,,WY,
,,,WYNN,
,,,YUM,
